time,cablecal,temp,pressure,humid,cablecal_baseline,cablecal_clean,cablecal_baseline_ml_pred
2020-02-20 11:30:33,3.409855773,-1.693377483,887.2,0.434417653,3.409855773,3.409855773,
2020-02-20 11:33:08,3.517181473,-1.196013289,887.2019934,0.414964515,3.517181473,3.517181473,
2020-02-20 11:34:43,3.552856775,-1.132890365,887.2335548,0.412014358,3.552856775,3.552856775,
2020-02-20 11:36:22,3.568146191,-1.067109635,887.2664452,0.408939985,3.568146191,3.568146191,
2020-02-20 11:37:52,3.57294287,-1.00730897,887.2963455,0.4061451,3.57294287,3.57294287,
2020-02-20 11:39:46,3.577139965,-0.863122924,887.2315615,0.402896778,3.577139965,3.577139965,
2020-02-20 11:42:44,3.42784332,-0.626578073,887.113289,0.397873507,3.42784332,3.42784332,
2020-02-20 11:44:03,3.482105755,-0.619601329,887.158804,0.395374119,3.482105755,3.482105755,
2020-02-20 11:45:43,3.487202227,-0.65282392,887.2584718,0.392094499,3.487202227,3.487202227,
2020-02-20 11:47:09,3.460820491,-0.681395349,887.344186,0.389274026,3.460820491,3.460820491,
2020-02-20 11:49:06,3.453025887,-0.781063123,887.4202658,0.393117891,3.453025887,3.453025887,
2020-02-20 11:53:05,3.469514472,-1.098671096,887.4996678,0.415374087,3.469514472,3.469514472,
2020-02-20 11:55:39,3.457822566,-1.049169435,887.4491694,0.41223386,3.457822566,3.457822566,
2020-02-20 11:58:16,3.481805963,-1.0089701,887.4,0.408121431,3.481805963,3.481805963,
2020-02-20 11:59:53,3.483304925,-1.105647841,887.4,0.397508054,3.483304925,3.483304925,
2020-02-20 12:01:46,3.479707416,-1.218272425,887.4,0.385144018,3.479707416,3.479707416,
2020-02-20 12:05:57,3.444631698,-1.187707641,887.4561462,0.388961639,3.444631698,3.444631698,
2020-02-20 12:07:50,3.467415925,-1.112624585,887.4936877,0.397513368,3.467415925,3.467415925,
2020-02-20 12:10:32,3.499193925,-0.909966777,887.5,0.405806869,3.499193925,3.499193925,
2020-02-20 12:12:46,3.538166945,-0.731893688,887.5,0.412230997,3.538166945,3.538166945,
2020-02-20 12:15:11,3.535468813,-0.378405316,887.4598007,0.395334566,3.535468813,3.535468813,
2020-02-20 12:17:29,3.585534153,-0.011627907,887.4139535,0.374752013,3.585534153,3.585534153,
2020-02-20 12:18:44,3.596326682,0.143853821,887.4109635,0.367333391,3.596326682,3.596326682,
2020-02-20 12:20:17,3.600523776,0.26744186,887.4418605,0.364080178,3.600523776,3.600523776,
2020-02-20 12:22:21,3.60711921,0.432225914,887.4830565,0.359742559,3.60711921,3.60711921,
2020-02-20 12:24:12,3.603221908,0.280730897,887.5199336,0.360814844,3.603221908,3.603221908,
2020-02-20 12:27:10,3.560351587,-0.369767442,887.5790698,0.36928855,3.560351587,3.560351587,
2020-02-20 12:28:33,3.533070473,-0.672847682,887.6,0.373289059,3.533070473,3.533070473,
2020-02-20 12:30:15,3.553156568,-1.044370861,887.6,0.378396139,3.553156568,3.553156568,
2020-02-20 12:31:51,3.549559058,-1.394039735,887.6,0.383202803,3.549559058,3.549559058,
2020-02-20 12:33:37,3.514783133,-1.69269103,887.6,0.389839195,3.514783133,3.514783133,
2020-02-20 12:35:21,3.561550757,-1.658139535,887.6,0.401329119,3.561550757,3.561550757,
2020-02-20 12:36:31,3.560051794,-1.634883721,887.6,0.409062722,3.560051794,3.560051794,
2020-02-20 12:38:13,3.564248889,-1.600996678,887.6,0.420331686,3.564248889,3.564248889,
2020-02-20 12:40:14,3.562749927,-1.6,887.6392027,0.419329455,3.562749927,3.562749927,
2020-02-20 12:41:54,3.563949096,-1.6,887.6724252,0.418199225,3.563949096,3.563949096,
2020-02-20 12:43:39,3.39486615,-1.62923588,887.692691,0.416432848,3.39486615,3.39486615,
2020-02-20 12:45:04,3.538166945,-1.742192691,887.6644518,0.413232652,3.538166945,3.538166945,
2020-02-20 12:46:11,3.552257191,-1.831229236,887.6421927,0.410710144,3.552257191,3.552257191,
2020-02-20 12:47:43,3.559152417,-1.953488372,887.6116279,0.407246402,3.559152417,3.559152417,
2020-02-20 12:49:19,3.558552832,-1.898671096,887.6202658,0.411076939,3.558552832,3.558552832,
2020-02-20 12:51:10,3.556454285,-1.714285714,887.6571429,0.420445094,3.556454285,3.556454285,
2020-02-20 12:53:05,3.547460511,-1.523255814,887.6953488,0.43015084,3.547460511,3.547460511,
2020-02-20 12:54:40,3.538166945,-1.526910299,887.7,0.436027758,3.538166945,3.538166945,
2020-02-20 12:56:31,3.53516902,-1.563787375,887.7,0.442462124,3.53516902,3.53516902,
2020-02-20 12:58:02,3.528273794,-1.594019934,887.7,0.447737145,3.528273794,3.528273794,
2020-02-20 13:00:07,3.510586039,-2.310963455,887.7355482,0.461331328,3.510586039,3.510586039,
2020-02-20 13:03:25,3.513883756,-3.601328904,887.8,0.48418817,3.513883756,3.513883756,
2020-02-20 13:05:07,3.508787284,-3.635215947,887.8,0.486769695,3.508787284,3.508787284,
2020-02-20 13:07:16,3.497395171,-3.67807309,887.8,0.490034564,3.497395171,3.497395171,
2020-02-20 13:08:47,3.488701189,-3.616943522,887.8083056,0.490333321,3.488701189,3.488701189,
2020-02-20 13:10:28,3.487202227,-3.281395349,887.8418605,0.484791887,3.487202227,3.487202227,
2020-02-20 13:12:32,3.424545603,-2.869435216,887.8830565,0.477988543,3.424545603,3.424545603,
2020-02-20 13:13:39,3.419449132,-2.774418605,887.9,0.477528338,3.419449132,3.419449132,
2020-02-20 13:15:14,3.417350584,-3.21627907,887.9,0.491409885,3.417350584,3.417350584,
