time,cablecal,temp,pressure,humid
20-02-20 12:20:17,3.600523776,0.26744186,887.4418605,0.364080178
20-02-20 12:22:21,3.60711921,0.432225914,887.4830565,0.359742559
20-02-20 12:24:12,3.603221908,0.280730897,887.5199336,0.360814844
20-02-20 12:27:10,3.560351587,-0.369767442,887.5790698,0.36928855
20-02-20 12:28:33,3.533070473,-0.672847682,887.6,0.373289059
20-02-20 12:30:15,3.553156568,-1.044370861,887.6,0.378396139
20-02-20 12:31:51,3.549559058,-1.394039735,887.6,0.383202803
20-02-20 12:33:37,3.514783133,-1.69269103,887.6,0.389839195
20-02-20 12:35:21,3.561550757,-1.658139535,887.6,0.401329119
20-02-20 12:36:31,3.560051794,-1.634883721,887.6,0.409062722
20-02-20 12:38:13,3.564248889,-1.600996678,887.6,0.420331686
20-02-20 12:40:14,3.562749927,-1.6,887.6392027,0.419329455
20-02-20 12:41:54,3.563949096,-1.6,887.6724252,0.418199225
20-02-20 12:43:39,3.39486615,-1.62923588,887.692691,0.416432848
20-02-20 12:45:04,3.538166945,-1.742192691,887.6644518,0.413232652
20-02-20 12:46:11,3.552257191,-1.831229236,887.6421927,0.410710144
20-02-20 12:47:43,3.559152417,-1.953488372,887.6116279,0.407246402
20-02-20 12:49:19,3.558552832,-1.898671096,887.6202658,0.411076939
20-02-20 12:51:10,3.556454285,-1.714285714,887.6571429,0.420445094
20-02-20 12:53:05,3.547460511,-1.523255814,887.6953488,0.43015084
20-02-20 12:54:40,3.538166945,-1.526910299,887.7,0.436027758
20-02-20 12:56:31,3.53516902,-1.563787375,887.7,0.442462124
20-02-20 12:58:02,3.528273794,-1.594019934,887.7,0.447737145
20-02-20 13:00:07,3.510586039,-2.310963455,887.7355482,0.461331328
20-02-20 13:03:25,3.513883756,-3.601328904,887.8,0.48418817
20-02-20 13:05:07,3.508787284,-3.635215947,887.8,0.486769695
20-02-20 13:07:16,3.497395171,-3.67807309,887.8,0.490034564
20-02-20 13:08:47,3.488701189,-3.616943522,887.8083056,0.490333321
20-02-20 13:10:28,3.487202227,-3.281395349,887.8418605,0.484791887
20-02-20 13:12:32,3.424545603,-2.869435216,887.8830565,0.477988543
20-02-20 13:13:39,3.419449132,-2.774418605,887.9,0.477528338
20-02-20 13:15:14,3.417350584,-3.21627907,887.9,0.491409885
20-02-20 13:16:44,3.425744773,-3.634883721,887.9,0.504560824
20-02-20 13:18:28,3.463218831,-4.110631229,887.8986711,0.519602482
20-02-20 13:21:34,3.376279018,-4.604983389,887.8368771,0.539574381
20-02-20 13:23:27,3.383474037,-4.899335548,887.8013289,0.551406998
20-02-20 13:26:09,3.414952245,-4.84551495,887.9089701,0.544433159
20-02-20 13:28:23,3.436537302,-4.800996678,887.9980066,0.538664674
20-02-20 13:30:48,3.427243736,-5.317218543,888.0470199,0.541175492
20-02-20 13:32:39,3.38017632,-5.721523179,888.0837748,0.543239126
20-02-20 13:34:34,3.36308815,-5.790365449,888.0780731,0.542534948
20-02-20 13:36:57,3.372981301,-5.55282392,888.0305648,0.539035455
20-02-20 13:39:16,3.402660754,-5.337541528,888.0156146,0.538341183
20-02-20 13:41:28,3.385872376,-5.162126246,888.0594684,0.542714458
20-02-20 13:43:31,3.438036264,-4.998671096,888.1,0.546760252
20-02-20 13:44:41,3.425744773,-4.905647841,888.1,0.547028271
20-02-20 13:46:13,3.442233358,-4.783388704,888.1,0.547380524
